process_key,process_label,direction,mean_contribution,std_contribution,max_contribution
runoff_source,径流输入,source,0.29532728121494467,0.34966334200614324,1.7427432537078855
erosion_source,再悬浮,source,0.07748037050275695,0.009318978329224055,0.0922259986400604
tidal_source,潮汐滞留,source,0.2576092645201994,0.019490446078493255,0.2933355271816253
phytoplankton_source,生态增殖,source,0.0011930392702592418,0.001500138912012694,0.0091825705021619
krone_deposition_sink,沉降絮凝,sink,0.22341516905504724,0.0068851347852912515,0.2360522300004959
flushing_sink,冲刷外输,sink,0.3854718291727097,0.14533640180428642,0.6692348122596741
purification_sink,自净恢复,sink,0.045464788530649496,0.02797975495798721,0.0965500995516777
