model,feature,importance
mscim,huangdu_flow_m3s_reverse_flag,0.00984246376901865
mscim,resuspension_index,0.00959961861371994
mscim,nutrient_risk_index,0.009550514630973339
mscim,huangdu_flow_m3s_abs,0.009509488940238953
mscim,songpu_water_level_m_1d_diff,0.008891758508980274
mscim,songpu_resuspension_potential,0.008743519894778728
mscim,pressure_drop,0.008481712080538273
mscim,water_air_temp_gap,0.008333412930369377
mscim,songpu_flow_m3s_reverse_flag,0.007890823297202587
mscim,songpu_flow_m3s_abs,0.006386205554008484
mscim_no_kg,songpu_water_level_m_3d_mean,0.135768324136734
mscim_no_kg,tn,0.03438408300280571
mscim_no_kg,huangdu_water_level_m,0.03435740992426872
mscim_no_kg,dayofyear_cos,0.03380123898386955
mscim_no_kg,huangdu_flow_m3s_3d_mean,0.028304271399974823
mscim_no_kg,conductivity,0.02771284617483616
mscim_no_kg,nutrient_risk_index,0.025998057797551155
mscim_no_kg,huangdu_flow_m3s_7d_mean,0.025722460821270943
mscim_no_kg,pressure,0.023652981966733932
mscim_no_kg,songpu_flow_m3s_7d_mean,0.02095003053545952
mscim_no_kg,songpu_water_level_m,0.0207095667719841
mscim_no_kg,songpu_flow_m3s_3d_mean,0.01982126198709011
mscim_no_kg,huangdu_water_level_m_3d_mean,0.01822114735841751
mscim_no_kg,songpu_flow_rise_flag,0.01689608208835125
mscim_no_kg,runoff_sediment_pulse,0.016606096178293228
mscim_no_kg,resuspension_index,0.01657143235206604
mscim_no_kg,settling_index,0.016316911205649376
mscim_no_kg,huangdu_flow_rise_flag,0.016298456117510796
mscim_no_kg,huangdu_flow_m3s,0.015594490803778172
mscim_no_kg,wind_dir_sin,0.015523049980401993
mscim_no_kg,nh3_n,0.015507679432630539
mscim_no_kg,turbidity,0.015474080108106136
mscim_no_kg,ph,0.015254917554557323
mscim_no_kg,precipitation_7d,0.014662599191069603
mscim_no_kg,dissolved_oxygen,0.014563098549842834
mscim_no_kg,songpu_flow_m3s_abs,0.014530980959534645
mscim_no_kg,huangdu_flow_m3s_1d_diff,0.014260351657867432
mscim_no_kg,runoff_proxy,0.013678105548024178
mscim_no_kg,dayofyear_sin,0.013606864027678967
mscim_no_kg,huangdu_flow_m3s_abs,0.013205192051827908
mscim_no_kg,songpu_flow_m3s_1d_diff,0.013179137371480465
mscim_no_kg,tp,0.013081809505820274
mscim_no_kg,songpu_resuspension_potential,0.012887433171272278
mscim_no_kg,water_air_temp_gap,0.012756391428411007
mscim_no_kg,pressure_drop,0.012678547762334347
mscim_no_kg,huangdu_flow_level_coupling,0.012544922530651093
mscim_no_kg,humidity,0.012090077623724937
mscim_no_kg,songpu_flow_level_coupling,0.011795323342084885
mscim_no_kg,hydrodynamic_intensity,0.011726991273462772
mscim_no_kg,songpu_water_level_m_1d_diff,0.011707209050655365
mscim_no_kg,water_temp,0.011696620844304562
mscim_no_kg,conductivity_anomaly,0.01169642899185419
mscim_no_kg,songpu_flow_m3s,0.011632914654910564
mscim_no_kg,huangdu_flow_m3s_reverse_flag,0.011342965066432953
mscim_no_kg,air_temp,0.011230962350964546
mscim_no_kg,precipitation_3d,0.010975792072713375
mscim_no_kg,wind_dir_cos,0.010928714647889137
mscim_no_kg,self_purification_index,0.010721860453486443
mscim_no_kg,mixing_proxy,0.010377513244748116
mscim_no_kg,wind_speed,0.010322042740881443
mscim_no_kg,precipitation,0.010144251398742199
mscim_no_kg,codmn,0.009656413458287716
mscim_no_kg,songpu_flow_m3s_reverse_flag,0.009617726318538189
mscim_no_kg,huangdu_water_level_m_1d_diff,0.00932606216520071
mscim_no_kg,songpu_flushing_potential,0.009268529713153839
mscim_no_kg,songpu_tidal_pumping_proxy,0.008659200742840767
