bundle_name,bundle_size,factors,factor_labels,interventions,mean_net_process_delta,mean_turbidity_delta,positive_response_day_change,improved_days_fraction,additive_single_factor_expectation,synergy_vs_additive
top_3_linked_intervention,3,precipitation_3d|songpu_flushing_potential|songpu_flow_m3s_abs,3-day cumulative precipitation|Songpu flushing potential|Songpu absolute flow,precipitation_3d::minus_20pct|songpu_flushing_potential::plus_20pct|songpu_flow_m3s_abs::set_to_threshold,-0.04979040776707513,-7.827616103753131,-0.03260869565217389,1.0,-7.667901767909019,-0.15971433584411265
top_2_linked_intervention,2,precipitation_3d|songpu_flushing_potential,3-day cumulative precipitation|Songpu flushing potential,precipitation_3d::minus_20pct|songpu_flushing_potential::plus_20pct,-0.034017632339083705,-5.174674096880483,-0.03260869565217389,1.0,-5.206886628100299,0.03221253121981604
