scope,context,feature,feature_label,unit,response,n,status,threshold,linear_r2,piecewise_r2,r2_gain,linear_slope,slope_below,slope_above,mean_response_below,mean_response_above,response_jump,below_count,above_count
global_test_set,all,velocity_proxy,水动力速度代理,dimensionless,net_process_response,92,ok,1.1005995273590088,0.011893339987589235,0.08955223101497278,0.07765889102738355,-0.4231903262750511,0.11269546670588913,7.697423960094529,0.10339307378638873,-0.12964637806782356,-0.2330394518542123,66.0,26.0
global_test_set,all,bed_shear_proxy,床面剪切代理,dimensionless,net_process_response,92,ok,0.3666920661926269,0.002199850158769112,0.07171467181178381,0.0695148216530147,0.4292400390728837,-1.090559088315956,-4.142926570109536,-0.010370284318923955,0.265079915523529,0.27545019984245295,76.0,16.0
global_test_set,all,precipitation_3d,3日累计降水,mm,net_process_response,92,ok,49.1,0.1550774787938647,0.40570405089167105,0.25062657209780637,0.00553841879057783,0.020314178678446943,-0.005044475956925486,0.0019924835789771203,0.41072105243802065,0.4087285688590435,84.0,8.0
global_test_set,all,precipitation_7d,7日累计降水,mm,net_process_response,92,ok,141.6,0.18978801578911852,0.3488663403757528,0.1590783245866343,0.0037040832954961175,0.008586701398954,4.954726212186819e-06,0.02000586688518523,0.22158052772283549,0.20157466083765024,84.0,8.0
global_test_set,all,wind_speed,风速,m/s,net_process_response,92,ok,1.316667,0.009002917720460135,0.09086203779927393,0.0818591200788138,0.04522545162503695,-1.644573692018152,0.05690809509537877,-0.03558148741722113,0.04645063310134699,0.08203212051856812,10.0,82.0
global_test_set,all,air_temp,气温,degC,net_process_response,92,ok,21.6875,0.22966522815628176,0.2934452038778429,0.06377997572156113,0.025682679394593105,0.02177624012341924,-0.06928088863950825,-0.057565912604331984,0.42850080960326725,0.4860667222075992,74.0,18.0
global_test_set,all,songpu_flow_m3s_abs,松浦大桥流量绝对值,m3/s,net_process_response,92,ok,878.0,0.0031729766376765722,0.11223709194924092,0.10906411531156435,-9.858135841504317e-05,-0.0005150368079086764,0.0003075450720129497,0.0003798754862797003,0.31112428415905335,0.31074440867277364,81.0,11.0
global_test_set,all,huangdu_flow_m3s_abs,黄渡流量绝对值,m3/s,net_process_response,92,ok,22.9,0.045683807721520475,0.2203164310453789,0.17463262332385843,0.0066705242878887456,0.03946734898854107,0.02585315102583989,0.03738642483949659,0.03764769320304576,0.000261268363549165,40.0,52.0
global_test_set,all,songpu_tidal_pumping_proxy,潮汐回流代理,dimensionless,net_process_response,92,insufficient,,,,,,,,,,,,
global_test_set,all,songpu_resuspension_potential,再悬浮潜力,proxy,net_process_response,92,ok,572.3999999999997,0.00034273985771149373,0.10674352256485153,0.10640078270714004,1.9691052322005877e-05,-0.0004058927516047144,0.00024489879176824576,0.2746043678592233,-0.016201829512914045,-0.29080619737213736,17.0,75.0
global_test_set,all,songpu_flushing_potential,冲刷外输潜力,proxy,net_process_response,92,ok,3.645621972305595,0.0037825175522647747,0.22008513721793765,0.21630261966567288,-0.005678379960817665,0.12763685641993489,0.034409980969377495,0.2906266817679772,-0.06216904069438126,-0.35279572246235846,26.0,66.0
