context_type,context,feature,feature_label,unit,response,n,status,threshold,linear_r2,piecewise_r2,r2_gain,linear_slope,slope_below,slope_above,mean_response_below,mean_response_above,response_jump,below_count,above_count
hydrodynamic condition,high hydrodynamics,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,31,ok,16.4,0.2494955748640889,0.34644959125000063,0.09695401638591172,0.009609591887809518,0.019938149266860987,0.8800655910197539,-0.15812484346903288,0.20185582637786856,0.35998066984690147,26,5
hydrodynamic condition,high hydrodynamics,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,31,ok,0.3591524064540863,0.11648357528868292,0.25917397607592285,0.14269040078723993,5.493577018365285,28.209100163676794,8.029180815215499,-0.11103656556871203,-0.09557444128123199,0.015462124287480034,9,22
hydrodynamic condition,high hydrodynamics,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,31,ok,1.1264604330062866,0.05625444144973757,0.22786229821979787,0.1716078567700603,3.773384227728333,-10.317191486896474,11.12644391001853,-0.15813363641500472,0.005518720908598426,0.16365235732360314,20,11
hydrodynamic condition,high hydrodynamics,wind_speed,Wind speed,m/s,net_process_response,31,ok,1.620833,0.0091137724762399,0.13677483505654686,0.12766106258030696,-0.037120600546278644,0.02972012855253034,-0.14451077778136945,-0.24367178479830423,-0.06559744358062745,0.1780743412176768,6,25
hydrodynamic condition,high hydrodynamics,air_temp,Air temperature,degC,net_process_response,31,ok,17.634783,0.1826740262206631,0.2789894439803545,0.09631541775969144,0.016285265082258693,0.01998361199548523,0.048796981286461524,-0.1381060584731724,0.009309068322181646,0.14741512679535404,23,8
hydrodynamic condition,low hydrodynamics,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,31,ok,110.8,0.19762914021789202,0.45246244658277945,0.25483330636488744,0.0034014794885442014,0.0020123501551022158,-0.029827149515740035,0.05295637937692496,0.6233465790748596,0.5703901996979346,26,5
hydrodynamic condition,low hydrodynamics,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,31,ok,0.3129418790340423,0.0611261206064424,0.3756522671814694,0.314526146575027,2.7431821590664707,-0.39695461339377763,-37.458609259922945,0.04689080096208133,0.6548875868320465,0.6079967858699652,26,5
hydrodynamic condition,low hydrodynamics,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,31,ok,0.9475424885749816,0.007068155687409483,0.24156466603243687,0.2344965103450274,0.3717505338026196,-0.05271353814604638,-25.891017312203434,0.07551559971438514,0.2411013818704165,0.16558578215603137,18,13
hydrodynamic condition,low hydrodynamics,wind_speed,Wind speed,m/s,net_process_response,31,ok,3.1625,0.0267602904547517,0.26113396484151996,0.23437367438676826,0.07785247652486937,0.03350352580112686,-0.48867757711285464,0.05830996451170546,0.3940586969256401,0.33574873241393466,23,8
hydrodynamic condition,low hydrodynamics,air_temp,Air temperature,degC,net_process_response,31,ok,20.741667,0.17543401793268054,0.41572145600411925,0.2402874380714387,0.023935976875316622,0.02407879733006684,-0.09627137997125448,-0.01790655286688555,0.40281860530376434,0.42072515817064987,19,12
hydrodynamic condition,moderate hydrodynamics,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,30,ok,71.3,0.13905513754548093,0.399919076557274,0.26086393901179306,0.003040310180495004,0.017069245941747985,-0.000277867658918231,0.010957542806863793,0.28892200191815703,0.27796445911129325,24,6
hydrodynamic condition,moderate hydrodynamics,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,30,ok,0.3544214069843292,0.3014625962367381,0.6624267064578249,0.36096411022108676,9.955350337136583,-0.01794442372787021,48.72379492336582,-0.1239577907582988,0.6925060323306492,0.816463823088948,23,7
hydrodynamic condition,moderate hydrodynamics,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,30,ok,1.0822874307632446,0.1540791687846167,0.42459037857008475,0.27051120978546805,6.321430021965796,4.183863296375461,149.3586661694937,-0.007996778488159153,0.4392865002155304,0.44728327870368956,25,5
hydrodynamic condition,moderate hydrodynamics,wind_speed,Wind speed,m/s,net_process_response,30,ok,1.295833,0.004494141484361891,0.361304721814523,0.3568105803301611,0.03455776471564171,-3.0843249303951454,0.12875151472250146,0.09777960677941648,0.05874314159154893,-0.039036465187867554,6,24
hydrodynamic condition,moderate hydrodynamics,air_temp,Air temperature,degC,net_process_response,30,ok,18.004167,0.30425692176288877,0.503993340848184,0.19973641908529527,0.03933700829910902,0.07884032989485626,0.0970087445063122,-0.010064132903751551,0.19888468764045023,0.20894882054420177,19,11
rainfall background,dry background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,34,ok,0.3,0.3911659021275662,0.531851734709351,0.1406858325817848,0.07364628470181675,0.5896223137721532,0.10234877068617969,-0.22664752726753554,-0.06377833485603332,0.16286919241150222,24,10
rainfall background,dry background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,34,ok,0.3530075252056122,0.020586832702462865,0.17784391724782067,0.1572570845453578,-0.5434312267828257,-1.738093307091863,-8.72166642311475,-0.19939473271369934,-0.14088665693998337,0.05850807577371597,22,12
rainfall background,dry background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,34,ok,1.1205700635910034,0.04762399199783496,0.1700203621261901,0.12239637012835514,-0.36250877990672276,-0.5289952925661823,54.40455895440627,-0.18746435128409286,-0.12817156314849854,0.059292788135594326,29,5
rainfall background,dry background,wind_speed,Wind speed,m/s,net_process_response,34,ok,1.458333,0.0007493674137500905,0.11272537572433106,0.11197600831058097,-0.007295104200655199,1.71899492893617,0.0022838822624183667,-0.15128156542778015,-0.18462980751480376,-0.03334824208702361,6,28
rainfall background,dry background,air_temp,Air temperature,degC,net_process_response,34,ok,17.634783,0.285852277292011,0.5127961295564876,0.22694385226447655,0.013593843792075958,0.02573131946704693,0.021330914015736394,-0.1803500498163289,-0.16943451166152954,0.01091553815479937,29,5
rainfall background,heavy-rainfall background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,30,ok,141.6,0.009713827347627602,0.1534704997022771,0.1437566723546495,0.0010357162734010823,0.007460527958786344,3.651352293790032e-06,0.3780150467699224,0.22102411091327673,-0.1569909358566457,22,8
rainfall background,heavy-rainfall background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,30,ok,0.3618505597114563,0.0394519710033423,0.16778766393086586,0.12833569292752356,2.741942734593772,-0.9382831497490456,-7.87873043158083,0.20660541627718054,0.7617999059813363,0.5551944897041557,23,7
rainfall background,heavy-rainfall background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,30,ok,0.9625759720802308,0.008931078554614835,0.12645965913695367,0.11752858058233884,0.525223274557255,3.292745402825091,2.1634216690574704,0.48227761313319206,0.2830137732354077,-0.19926383989778435,8,22
rainfall background,heavy-rainfall background,wind_speed,Wind speed,m/s,net_process_response,30,ok,3.075,0.06421464145768918,0.3337574168049874,0.2695427753472982,-0.1521364166924006,-0.6540123611702251,-0.47747587414202314,0.2911039135958019,0.41395905072038824,0.12285513712458634,19,11
rainfall background,heavy-rainfall background,air_temp,Air temperature,degC,net_process_response,30,ok,27.420833,0.07625062841428476,0.15097860700725474,0.07472797859296998,0.027629590886795733,0.06672233214359702,0.13901481857121797,0.30230491906404494,0.4038425534963608,0.10153763443231584,20,10
rainfall background,normal rainfall background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,28,ok,6.5,0.07748258025365429,0.35633773787191647,0.2788551576182622,0.013779853111156754,-0.02500874334084651,-0.013674265761167202,-0.18402291969819504,0.0826586590093725,0.26668157870756753,11,17
rainfall background,normal rainfall background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,28,ok,0.3086752593517303,0.10937441987946528,0.19833761137757366,0.08896319149810838,-1.3540520388347521,1.2379516331380387,0.4415009516756234,0.08495323933087866,-0.11489646832148234,-0.19984970765236099,13,15
rainfall background,normal rainfall background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,28,ok,0.9564806818962096,0.12142492191953125,0.23696962301453717,0.11554470109500592,-0.6158960069000143,0.8741931975803865,-0.7815241203697025,0.12129085262616475,-0.09003539932401555,-0.2113262519501803,9,19
rainfall background,normal rainfall background,wind_speed,Wind speed,m/s,net_process_response,28,ok,2.025,0.007344346776702926,0.26796469073915596,0.26062034396245304,0.022377178291413738,0.47441632250312016,-0.047644605290642954,-0.016709796407005983,-0.025602773708455696,-0.008892977301449712,11,17
rainfall background,normal rainfall background,air_temp,Air temperature,degC,net_process_response,28,ok,20.741667,0.05049505356372386,0.18142490659236654,0.13092985302864268,0.007073106989498926,0.017666750016477464,0.03483246330954314,-0.016605975835219663,-0.04742349386215209,-0.030817518026932427,23,5
temperature background,cool background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,31,ok,0.3,0.23617612855361902,0.33789334324883136,0.10171721469521233,0.014182831840500265,0.656035180602755,0.013778331540719769,-0.24486802518367767,-0.09634841405428372,0.14851961112939394,18,13
temperature background,cool background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,31,ok,0.3717478513717651,0.03464020442668081,0.09199058620168621,0.0573503817750054,1.0509465577707209,0.5949448076009369,-4.40202085250554,-0.20357938798574302,-0.07341794967651367,0.13016143830922933,26,5
temperature background,cool background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,31,ok,1.098296046257019,0.005011867070009002,0.21731904153809778,0.21230717446808878,0.243589015957846,2.325024514847991,0.9586744604427151,-0.13988212682306767,-0.2281359871228536,-0.08825386029978594,16,15
temperature background,cool background,wind_speed,Wind speed,m/s,net_process_response,31,ok,2.008333,0.08414781846868558,0.21722699782413957,0.133079179355454,0.0731564857501594,0.02197730636671878,-0.10844165441470952,-0.26169799268245697,-0.098199063539505,0.16349892914295197,16,15
temperature background,cool background,air_temp,Air temperature,degC,net_process_response,31,ok,8.391667,0.05062141442387347,0.2607007989531305,0.210079384529257,0.0198144238941585,0.008419904258277204,-0.6387749034235094,-0.21371635049581528,-0.07585163201604574,0.13786471847976955,24,7
temperature background,mild background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,30,ok,46.8,0.11074317792153587,0.21573641206295757,0.1049932341414217,0.002169931231957995,0.013265750318193313,0.003521740509336119,0.01345407466093699,0.23792484899361935,0.22447077433268237,24,6
temperature background,mild background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,30,ok,0.3638915121555328,0.04765507946764802,0.43802955662577137,0.39037447715812335,2.0303659706049633,-0.3311222652855359,564.4983436738949,-0.021075140237808227,0.45546507835388195,0.47654021859169016,25,5
temperature background,mild background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,30,ok,1.0621473789215088,0.003914722723697306,0.47665601110913236,0.47274128838543505,0.22088813783220876,-0.6445221786599599,-22.526148275973288,-0.024815823137760165,0.22467633485794072,0.2494921579957009,20,10
temperature background,mild background,wind_speed,Wind speed,m/s,net_process_response,30,ok,1.841667,0.056464354337171785,0.35178211626900646,0.2953177619318347,-0.11027449755587938,-1.1889318361408185,0.02291287972896888,0.21404883265495306,0.0017298283902081628,-0.2123190042647449,8,22
temperature background,mild background,air_temp,Air temperature,degC,net_process_response,30,ok,16.979167,0.16035801302367014,0.3081894337611013,0.14783142073743116,0.06524472053180876,0.0014662821674376906,-0.26116968471760227,-0.0957496002316475,0.3665438890457154,0.4622934892773629,20,10
temperature background,warm background,precipitation_7d,7-day cumulative precipitation,mm,net_process_response,31,ok,110.8,0.11985263826290204,0.3764706211734645,0.2566179829105625,0.0035361827913375,0.0043327442292469,-0.06370325476625073,0.16738200646180373,0.5891839563846588,0.4218019499228551,26,5
temperature background,warm background,bed_shear_proxy,Bed shear proxy,dimensionless,net_process_response,31,ok,0.3256405293941498,0.01417059541068022,0.22532390628113763,0.2111533108704574,1.1174074591843204,3.7895556433502424,13.72104900479976,0.3086533704224755,0.1464817609105791,-0.16217160951189638,17,14
temperature background,warm background,velocity_proxy,Hydrodynamic velocity proxy,dimensionless,net_process_response,31,ok,0.9742751717567444,9.27418328651175e-05,0.18029417333770736,0.18020143150484225,-0.03971696040593547,2.2429436110327847,2.2428389657940944,0.39753443231949437,0.11832801832093133,-0.27920641399856305,13,18
temperature background,warm background,wind_speed,Wind speed,m/s,net_process_response,31,ok,3.516667,0.0005319120506598329,0.23422734053577066,0.23369542848511082,-0.013464285378813222,-0.037138515039277065,-0.7407852039806788,0.18520865559577943,0.4446059266726176,0.2593972710768382,25,6
temperature background,warm background,air_temp,Air temperature,degC,net_process_response,31,ok,21.475,0.09409934389484875,0.26461512870086534,0.1705157848060166,0.03524602269949938,0.009168370654782933,-0.051123373539019516,-0.06984108934799828,0.42820763274243,0.4980487220904283,12,19
