item_id,date,src_platform,valid_pct_scene,water_pct_scene,mask_href,thumbnail_href
SWIM_WE_S2A_MSIL2A_20240618T022551_N0510_R046_T51RUQ_20240618T054156,2024-06-18,SENTINEL-2,68.12,32.55,https://download.geoservice.dlr.de/SWIM_WE/files//2024/06/18/SWIM_WE_S2A_MSIL2A_20240618T022551_N0510_R046_T51RUQ_20240618T054156/SWIM_WE_S2A_MSIL2A_20240618T022551_N0510_R046_T51RUQ_20240618T054156_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/06/18/SWIM_WE_S2A_MSIL2A_20240618T022551_N0510_R046_T51RUQ_20240618T054156/SWIM_WE_S2A_MSIL2A_20240618T022551_N0510_R046_T51RUQ_20240618T054156_DATA_thumbnail.png
SWIM_WE_S2B_MSIL2A_20240901T022539_N0511_R046_T51RUQ_20240901T044409,2024-09-01,SENTINEL-2,71.79,34.57,https://download.geoservice.dlr.de/SWIM_WE/files//2024/09/01/SWIM_WE_S2B_MSIL2A_20240901T022539_N0511_R046_T51RUQ_20240901T044409/SWIM_WE_S2B_MSIL2A_20240901T022539_N0511_R046_T51RUQ_20240901T044409_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/09/01/SWIM_WE_S2B_MSIL2A_20240901T022539_N0511_R046_T51RUQ_20240901T044409/SWIM_WE_S2B_MSIL2A_20240901T022539_N0511_R046_T51RUQ_20240901T044409_DATA_thumbnail.png
SWIM_WE_S2A_MSIL2A_20241128T024031_N0511_R089_T51RUQ_20241128T053950,2024-11-28,SENTINEL-2,88.04,25.67,https://download.geoservice.dlr.de/SWIM_WE/files//2024/11/28/SWIM_WE_S2A_MSIL2A_20241128T024031_N0511_R089_T51RUQ_20241128T053950/SWIM_WE_S2A_MSIL2A_20241128T024031_N0511_R089_T51RUQ_20241128T053950_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/11/28/SWIM_WE_S2A_MSIL2A_20241128T024031_N0511_R089_T51RUQ_20241128T053950/SWIM_WE_S2A_MSIL2A_20241128T024031_N0511_R089_T51RUQ_20241128T053950_DATA_thumbnail.png
SWIM_WE_S2B_MSIL2A_20241130T022949_N0511_R046_T51RUQ_20241130T041510,2024-11-30,SENTINEL-2,78.55,35.56,https://download.geoservice.dlr.de/SWIM_WE/files//2024/11/30/SWIM_WE_S2B_MSIL2A_20241130T022949_N0511_R046_T51RUQ_20241130T041510/SWIM_WE_S2B_MSIL2A_20241130T022949_N0511_R046_T51RUQ_20241130T041510_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/11/30/SWIM_WE_S2B_MSIL2A_20241130T022949_N0511_R046_T51RUQ_20241130T041510/SWIM_WE_S2B_MSIL2A_20241130T022949_N0511_R046_T51RUQ_20241130T041510_DATA_thumbnail.png
SWIM_WE_S2A_MSIL2A_20241208T024111_N0511_R089_T51RUQ_20241208T061252,2024-12-08,SENTINEL-2,66.88,17.84,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/08/SWIM_WE_S2A_MSIL2A_20241208T024111_N0511_R089_T51RUQ_20241208T061252/SWIM_WE_S2A_MSIL2A_20241208T024111_N0511_R089_T51RUQ_20241208T061252_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/08/SWIM_WE_S2A_MSIL2A_20241208T024111_N0511_R089_T51RUQ_20241208T061252/SWIM_WE_S2A_MSIL2A_20241208T024111_N0511_R089_T51RUQ_20241208T061252_DATA_thumbnail.png
SWIM_WE_S2A_MSIL2A_20241215T023121_N0511_R046_T51RUQ_20241215T070351,2024-12-15,SENTINEL-2,78.17,35.91,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/15/SWIM_WE_S2A_MSIL2A_20241215T023121_N0511_R046_T51RUQ_20241215T070351/SWIM_WE_S2A_MSIL2A_20241215T023121_N0511_R046_T51RUQ_20241215T070351_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/15/SWIM_WE_S2A_MSIL2A_20241215T023121_N0511_R046_T51RUQ_20241215T070351/SWIM_WE_S2A_MSIL2A_20241215T023121_N0511_R046_T51RUQ_20241215T070351_DATA_thumbnail.png
SWIM_WE_S2B_MSIL2A_20241220T023029_N0511_R046_T51RUQ_20241220T043154,2024-12-20,SENTINEL-2,72.27,31.56,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/20/SWIM_WE_S2B_MSIL2A_20241220T023029_N0511_R046_T51RUQ_20241220T043154/SWIM_WE_S2B_MSIL2A_20241220T023029_N0511_R046_T51RUQ_20241220T043154_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/20/SWIM_WE_S2B_MSIL2A_20241220T023029_N0511_R046_T51RUQ_20241220T043154/SWIM_WE_S2B_MSIL2A_20241220T023029_N0511_R046_T51RUQ_20241220T043154_DATA_thumbnail.png
SWIM_WE_S2A_MSIL2A_20241228T024121_N0511_R089_T51RUQ_20241228T061147,2024-12-28,SENTINEL-2,88.75,25.47,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/28/SWIM_WE_S2A_MSIL2A_20241228T024121_N0511_R089_T51RUQ_20241228T061147/SWIM_WE_S2A_MSIL2A_20241228T024121_N0511_R089_T51RUQ_20241228T061147_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/28/SWIM_WE_S2A_MSIL2A_20241228T024121_N0511_R089_T51RUQ_20241228T061147/SWIM_WE_S2A_MSIL2A_20241228T024121_N0511_R089_T51RUQ_20241228T061147_DATA_thumbnail.png
SWIM_WE_S2B_MSIL2A_20241230T023019_N0511_R046_T51RUQ_20241230T040634,2024-12-30,SENTINEL-2,77.61,34.61,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/30/SWIM_WE_S2B_MSIL2A_20241230T023019_N0511_R046_T51RUQ_20241230T040634/SWIM_WE_S2B_MSIL2A_20241230T023019_N0511_R046_T51RUQ_20241230T040634_DATA.tif,https://download.geoservice.dlr.de/SWIM_WE/files//2024/12/30/SWIM_WE_S2B_MSIL2A_20241230T023019_N0511_R046_T51RUQ_20241230T040634/SWIM_WE_S2B_MSIL2A_20241230T023019_N0511_R046_T51RUQ_20241230T040634_DATA_thumbnail.png
