model,split,turbidity_mae,turbidity_rmse,turbidity_r2,clearness_mae,clearness_rmse,clearness_r2
cmfbe_stgcn,test,18.522486147673234,26.937896850603682,0.7480955017190729,0.029166708173959152,0.041248283465460105,0.7016367746618661
mscim,test,19.151106875875723,27.93267656309762,0.7291469958747001,0.029948550073996834,0.04179515657697067,0.6936728813237021
persistence_baseline,test,20.83214054936948,29.976930436394582,0.688051521448753,0.031470614444950355,0.04453021931974343,0.6522691668937299
mscim_no_kg,test,27.307984808216926,34.71189192573113,0.581721904888548,0.0423009499259617,0.0534235801418689,0.4995052687532372
ridge_window_baseline,test,49.47705492766007,67.33386784392,-0.5738947116220294,0.08744706828957019,0.11438281864856693,-1.294325972355154
ridge_window_baseline,train,18.55874494011076,23.5205381673271,0.9033640113569812,0.015196867297108993,0.021857626928341048,0.9352180757386993
cmfbe_stgcn,train,18.936827638337753,29.982213597686176,0.842973925914422,0.023962062471108433,0.04741941852360384,0.6950979991820059
persistence_baseline,train,20.609389786282158,31.3371590745543,0.8284607015978678,0.02709910503994578,0.05155500222364919,0.6395961299863573
mscim,train,20.93930481807289,32.26679256565492,0.8181321304592654,0.026742099249003153,0.048595013662695294,0.6797926893544375
mscim_no_kg,train,25.890337808646706,35.38299902885877,0.7813076123665373,0.034177139701926686,0.054743334277452774,0.5936405936053135
mscim,val,9.043204856129874,11.554117089566516,0.8063444049309177,0.02022277675898729,0.026947178341628967,0.7755233259040769
cmfbe_stgcn,val,8.583933096016402,11.594877714120337,0.804975638052272,0.019271692343517742,0.027269818732446625,0.7701157973607659
persistence_baseline,val,10.040375802369244,12.676565991422288,0.7668906123439846,0.022593188074837744,0.02944649887817507,0.731952379048911
mscim_no_kg,val,20.52921568608917,23.38778276922707,0.2065224877086187,0.04223155711604431,0.049392732425707866,0.245827434198155
ridge_window_baseline,val,33.28991361634921,42.401887799423854,-1.6081160115723074,0.05435335636138916,0.06931240065701948,-0.4851369655284432
