target,target_label,unit,model_name,display_name,feature_groups,feature_count,sample_count,train_sample_count,auxiliary_train_count,cv_strategy,fusion_strategy,mae,rmse,r2,mape,success_rate,description,rmse_delta_vs_baseline,rmse_reduction_pct_vs_baseline,success_rate_delta_vs_baseline
turbidity_ntu,turbidity,NTU,baseline_non_visual,加入跨模态前,non_visual_context,19,4,4,0,leave_one_out,direct_ridge,22.914721750231042,25.9427369657397,0.6181573903647166,18.963837512140376,0.5,Only date context and available proxy weather fields are used.,0.0,0.0,0.0
turbidity_ntu,turbidity,NTU,cross_modal_visual_stats,可解释视觉统计融合,non_visual_context;uav_visual_statistics,31,4,4,0,leave_one_out,direct_ridge,56.426497421324754,65.3360470674286,-1.4219128734486315,57.21928919147109,0.25,"Adds UAV color, texture, glare, vegetation, and visual turbidity proxy features.",39.3933101016889,-151.84716305651244,-0.25
turbidity_ntu,turbidity,NTU,cross_modal_transformer,Transformer残差融合,non_visual_context;uav_transformer_residual_embeddings,27,4,6,2,leave_one_out,shrinkage_guarded_residual,35.627063059710025,37.64951412061949,0.19578613456155014,27.424547153363488,0.0,Uses date/proxy context as the base prediction and applies a shrinkage-guarded residual correction from low-dimensional UAV Transformer embeddings.,11.706777154879791,-45.125451375234256,-0.5
turbidity_ntu,turbidity,NTU,cross_modal_auxiliary_visual_residual,相近河段视觉残差校正,non_visual_context;uav_visual_statistics;nearby_river_auxiliary_samples,31,4,6,2,leave_one_out,auxiliary_visual_residual,22.89527371381663,25.849617887664586,0.6208936489044775,18.51906244468654,0.5,Uses Zhangjiabang rows as the evaluation target and adds Chenxing/Sanlu nearby-river UAV rows only as auxiliary training samples for a conservative visual residual correction.,-0.09311907807511588,0.3589408403519262,0.0
secchi_depth_m,secchi_depth,m,baseline_non_visual,加入跨模态前,non_visual_context,19,4,4,0,leave_one_out,direct_ridge,0.07202710551383566,0.09585098432473217,0.20764975011864728,24.144202936887822,0.5,Only date context and available proxy weather fields are used.,0.0,0.0,0.0
secchi_depth_m,secchi_depth,m,cross_modal_visual_stats,可解释视觉统计融合,non_visual_context;uav_visual_statistics,31,4,4,0,leave_one_out,direct_ridge,0.13370342886213465,0.15168051322814435,-0.9841916783937772,37.17441209497916,0.25,"Adds UAV color, texture, glare, vegetation, and visual turbidity proxy features.",0.05582952890341218,-58.24617169737989,-0.25
secchi_depth_m,secchi_depth,m,cross_modal_transformer,Transformer残差融合,non_visual_context;uav_transformer_residual_embeddings,27,4,6,2,leave_one_out,shrinkage_guarded_residual,0.1065698710258766,0.13547415472574598,-0.5828397378010335,35.634616586444764,0.5,Uses date/proxy context as the base prediction and applies a shrinkage-guarded residual correction from low-dimensional UAV Transformer embeddings.,0.039623170401013805,-41.33830307550628,0.0
secchi_depth_m,secchi_depth,m,cross_modal_auxiliary_visual_residual,相近河段视觉残差校正,non_visual_context;uav_visual_statistics;nearby_river_auxiliary_samples,31,4,6,2,leave_one_out,auxiliary_visual_residual,0.07126484125153641,0.09561790082001,0.2114986249982358,24.12042430493237,0.5,Uses Zhangjiabang rows as the evaluation target and adds Chenxing/Sanlu nearby-river UAV rows only as auxiliary training samples for a conservative visual residual correction.,-0.00023308350472217576,0.24317278154652588,0.0
